一つ,ひとつ,one (thing)
二つ,ふたつ,two (things)
円,えん,yen
金,かね,money
これ,これ,"this, this one"
水曜日,すいようび,Wednesday
あれ,あれ,that over there
先,さき,"ahead, first"
八日,ようか,"eight days, 8th of the month"
そば,そば,"side, vicinity"
こっち,こっち,here
右,みぎ,right
あげる,あげる,give
ここ,ここ,here
とても,とても,very
七,なな,seven
手,て,hand
おなか,おなか,stomach
空く,すく,be empty
一日,ついたち,1st of the month
日曜日,にちようび,Sunday
七つ,ななつ,seven (things)
どれ,どれ,"what, which"
私,わたし,I
好き,すき,"favorite, liked"
ゲーム,ゲーム,game
一人,ひとり,"one, one person"
友達,ともだち,"friend, companion"
帰る,かえる,"return, go back"
元気,げんき,"healthy, energetic"
天気,てんき,weather
少ない,すくない,"few, little"
晴れる,はれる,"be sunny, clear up"
上,うえ,"up, above"
ドア,ドア,door
開く,ひらく,open
口,くち,mouth
閉める,しめる,"shut, close"
時間,じかん,"time, hour"
六日,むいか,"six days, 6th of the month"
後ろ,うしろ,"back, behind"
十日,とおか,"ten days, 10th of the month"
午前,ごぜん,"morning, a.m."
今晩,こんばん,"this evening, tonight"
土曜日,どようび,Saturday
金曜日,きんようび,Friday
月,つき,moon
夜,よる,night (from sunset to sunrise)
食べる,たべる,eat
何,なに,"what, which"
晩,ばん,evening (usually from sunset to bedtime)
ご飯,ごはん,"cooked rice, meal"
三つ,みっつ,three (things)
昼,ひる,"daytime, midday"
見つかる,みつかる,"be found, be caught"
それ,それ,"that, that one"
男,おとこ,"man, male"
今週,こんしゅう,this week
こう,こう,"like this, this kind of"
会う,あう,meet
月曜日,げつようび,Monday
昨日,きのう,yesterday
休む,やすむ,"take a day off, take a break"
今日,きょう,today
木曜日,もくようび,Thursday
場合,ばあい,"situation, case"
つける,つける,switch on
駅,えき,railway station
止める,やめる,"stop, give up, abolish"
歩く,あるく,"walk, go on foot"
近く,ちかく,"near, close to"
もっと,もっと,more
近い,ちかい,"near, soon"
近く,ちかく,"vicinity, nearby"
全部,ぜんぶ,"all, wholly"
国,くに,country
漢字,かんじ,"character, kanji"
赤い,あかい,red
どちら,どちら,which
米,こめ,rice (grain)
まずい,まずい,"bad-tasting, bad"
無い,ない,to not be
作る,つくる,"make, create"
使う,つかう,use
消す,けす,"switch off, turn off"
閉まる,しまる,"be shut, be closed"
前,まえ,"front, before"
店,みせ,"shop, store"
部屋,へや,room
夏,なつ,summer
暑い,あつい,"hot, warm (temperature of the air)"
熱い,あつい,"hot (things, touch)"
冬,ふゆ,winter
入る,はいる,enter
寒い,さむい,cold (temperature of the air)
春,はる,spring
暖かい,あたたかい,warm
見つける,みつける,find
テーブル,テーブル,table
古い,ふるい,old
悪い,わるい,bad
思う,おもう,think
そう,そう,"in such manner, that way"
どう,どう,"how, what"
考える,かんがえる,"think, consider"
決める,きめる,"decide, agree upon"
高い,たかい,"high, tall"
多い,おおい,lots of
午後,ごご,"afternoon, p.m."
重い,おもい,heavy
九日,ここのか,"nine days, 9th of the month"
待つ,まつ,"wait, wait for"
二日,ふつか,"two days, 2nd of the month"
持つ,もつ,"have, possess"
朝,あさ,morning
先生,せんせい,teacher
電車,でんしゃ,train
四,し,four
遠い,とおい,"far, distant"
名前,なまえ,name
大学,だいがく,"university, college"
勉強,べんきょう,study
強い,つよい,strong
弱い,よわい,weak
引く,ひく,"draw, pull"
質問,しつもん,question
難しい,むずかしい,difficult
取る,とる,"take, get"
数,かず,number
二,に,two
四,よん,four
八,はち,eight
勝つ,かつ,win
負ける,まける,lose
本当に,ほんとうに,"really, truly"
他,ほか,other
時計,とけい,"clock, watch"
八つ,やっつ,eight (things)
払う,はらう,pay
千,せん,thousand
四日,よっか,"four days, 4th of the month"
買う,かう,buy
十,じゅう,ten
要る,いる,"need, require"
忘れる,わすれる,"forget, leave behind"
乗る,のる,"ride, take"
着る,きる,"wear, put on"
そこ,そこ,there
次,つぎ,next
週,しゅう,week
動く,うごく,move
出る,でる,"go out, leave"
早い,はやい,early
時,とき,time
遅い,おそい,"slow, late"
始める,はじめる,"begin, start"
学校,がっこう,school
一,いち,one
年,とし,"year, age"
始まる,はじまる,begin
ミーティング,ミーティング,meeting
終わり,おわり,"end, conclusion"
去年,きょねん,last year
切る,きる,cut
三日,みっか,"three days, 3rd of the month"
見る,みる,"see, look at"
楽しむ,たのしむ,enjoy
飲み物,のみもの,"beverage, drink"
後,あと,after
見せる,みせる,show
色,いろ,color
直ぐ,すぐ,"at once, soon"
書き直す,かきなおす,rewrite
直る,なおる,"be repaired, return to normal"
道,みち,"road, street"
線,せん,line
曲がる,まがる,turn
左,ひだり,left
曜日,ようび,day of the week
今年,ことし,this year
五,ご,five
行く,いく,go
図書館,としょかん,library
未だ,まだ,"yet, more"
ところ,ところ,place
泊まる,とまる,stay overnight
家,うち,"house, home"
安い,やすい,"inexpensive, cheap"
服,ふく,clothes
開ける,あける,"open, unlock"
お父さん,おとうさん,father
父,ちち,(speaker's)father
話す,はなす,"speak, tell"
母,はは,(speaker's)mother
働く,はたらく,work
姉,あね,older sister
大学生,だいがくせい,university student
お姉さん,おねえさん,older sister
上手,じょうず,"good, skilled"
妹,いもうと,younger sister
お兄さん,おにいさん,older brother
車,くるま,"car, automobile"
高校生,こうこうせい,high school student
娘,むすめ,"daughter, girl"
九つ,ここのつ,nine (things)
息子,むすこ,son
六つ,むっつ,six (things)
女,おんな,"woman, girl"
新しい,あたらしい,new
今,いま,now
もう,もう,"already, yet"
学生,がくせい,student
よく,よく,often
彼女,かのじょ,"she, one's girlfriend"
聞く,きく,"hear, ask"
若い,わかい,young
かなり,かなり,"fairly, rather"
住む,すむ,"live, reside"
立つ,たつ,"stand, rise"
気持ち,きもち,"feeling, sensation"
広い,ひろい,"wide, big"
走る,はしる,run
